SERIAL_CODE,EMS_ID,STATION_NAME,STATION_NAME_FULL,LOCATION,CITY,CATEGORY,STATION_ENVIRONMENT,STATION_OWNER,DATE_ESTABLISHED,NOTES,LATITUDE,LONGITUDE,HEIGHT.m.,STATUS,CGNDB
428,E289309,Abbotsford A Columbia Street,Abbotsford A Columbia Street,N/A,Abbotsford,METRO VANCOUVER,N/A,MVRD,7/25/2012,GVRD T045,49.0215,-122.3266,65,ACTIVE,N/A
429,E289309,Abbotsford A Columbia Street,Abbotsford A Columbia Street Met,N/A,Abbotsford,METRO VANCOUVER,N/A,MVRD,7/25/2012 6:28:41 AM,GVRD T045,49.0215,-122.3266,65,ACTIVE,N/A
306,0310081,Abbotsford Airport,Abbotsford Airport,2nd Avenue,Abbotsford,NON OPERATIONAL,Commercial,MVRD,1/7/1978,GVRD T011;Closed 1994-04-28,49.0306,-122.3761,40,INACTIVE,N/A
262,E246240,Abbotsford Airport Walmsley Road,Abbotsford Airport Walmsley Road,31790 Walmsley Road,Aldergrove,METRO VANCOUVER NON OPERATIONAL,Commercial,MVRD,5/1/2001,GVRD T034,49.0235,-122.3430,65,INACTIVE,N/A
261,E238212,Abbotsford Central,Abbotsford Central,32995 Bevan Avenue,Abbotsford,METRO VANCOUVER,Residential,MVRD,9/17/1998,GVRD T033,49.0428,-122.3097,80,ACTIVE,N/A
307,E217029,Abbotsford Downtown,Abbotsford Downtown,South Fraser Highway,Abbotsford,NON OPERATIONAL,Residential,MVRD,1/5/1992,GVRD T028;Station Closed 1998-09-17,49.0492,-122.2922,20,INACTIVE,N/A
442,E293810,Agassiz Municipal Hall,Agassiz Municipal Hall,Agassiz,Agassiz,METRO VANCOUVER,N/A,MVRD,6/3/2013,GVRD T044,49.238032,-121.762334,23,ACTIVE,N/A
443,E293810,Agassiz Municipal Hall,Agassiz Municipal Hall Met,N/A,Agassiz,METRO VANCOUVER,N/A,MVRD,6/7/2013 8:39:12 AM,GVRD T044,49.238032,-121.762334,23,ACTIVE,N/A
22,E230617,Ainsworth 100 Mile,Ainsworth 100 Mile Met_60,Exeter Station Road,100 Mile House,OPERATIONAL,Rural,ENV,9/30/1998,Met closed Sept 3/2013; T/RH. Pluvio & Snowdepth still active,51.6534,-121.366,1063,INACTIVE,N/A
426,E288890,Alex Fraser Bridge,Alex Fraser Bridge,N/A,Delta,METRO VANCOUVER NON OPERATIONAL,N/A,MVRD,1/1/2012,GVRD T037,49.1592,-122.9422,160,INACTIVE,N/A
308,0310167,Anmore,Anmore,Elementary Road,Anmore,METRO VANCOUVER NON OPERATIONAL,Residential,MVRD,1/8/1980,GVRD T017;Station Closed 1998-02-01,49.3111,-122.8583,174,INACTIVE,N/A
309,M110514,Annacis Island,Annacis Island,Alex Fraser Bridge,Vancouver,NON OPERATIONAL,Commercial,ENV,8/9/1986,Station Closed 2002-05-23,49.1597,-122.9422,160,INACTIVE,N/A
459,E296510,Ashcroft Ranch,Ashcroft Ranch,N/A,None,METRO VANCOUVER NON OPERATIONAL,N/A,MVRD,2/28/2014 2:11:00 PM,N/A,50.704444,-121.340830,565,INACTIVE,N/A
450,E295729,Bessborough 237 Road,Bessborough 237 Road,237 Road,None,OPERATIONAL,DR DAS Ultimate Datalogger,INDUSTRY,11/26/2013 12:17:54 PM,N/A,55.791944,-120.483611,665,ACTIVE,N/A
520,E257435,Birchbank Golf Course,Birchbank Golf Course,South end of golf course,Trail,OPERATIONAL,N/A,INDUSTRY,8/17/2016,Attached to Ultimate at Trail Columbia Gardens,49.15785500,-117.7331200,483,ACTIVE,N/A
97,E257435,Birchbank Golf Course,Birchbank Golf Course_60,South end of golf course,Trail,OPERATIONAL,Forest,INDUSTRY,8/11/2004,CR1000,49.157855,-117.73312,483,ACTIVE,N/A
510,E306063,Blueberry River First Nation School,Blueberry River First Nation School,Stoney Flats Road,Buick,NON OPERATIONAL,N/A,ENV,6/23/2016 7:30:07 AM,Station shutdown 2017-11-29,56.70165500,-121.10429000,675,INACTIVE,N/A
513,E306063,Blueberry River First Nation School,Blueberry River First Nation School_60,Stoney Flats Road,Buick,NON OPERATIONAL,N/A,ENV,6/23/2016 1:13:11 PM,Station shutdown 2017-11-29,56.70165500,-121.10429000,675,INACTIVE,N/A
310,E238240,Boston Bar RCMP Station,Boston Bar RCMP Station,47864 Old Boston Bar Road,Boston Bar,NON OPERATIONAL,Residential,ENV,8/7/1999,Station Closed 2002-06-20,49.8658,-121.4425,180,INACTIVE,N/A
349,M114017,Brilliant,Brilliant,Popoff Street,Castlegar,NON OPERATIONAL,Residential,ENV,12/5/1993,Station closed 2002-07-31,49.3217,-117.6403,0,INACTIVE,N/A
504,Buick OGC CAMEL,Buick Creek Elementary School,Buick Creek Elementary School,N/A,Buick,BC OGC MOBILE,N/A,BC OGC,2/4/2015,N/A,56.759244,-121.274225,0,INACTIVE,N/A
251,E244515,Burnaby Burmount,Burnaby Burmount,7815 Shellmont Street,Burnaby,METRO VANCOUVER,Residential,MVRD,1/1/2000,GVRD T022,49.2667,-122.9356,101,ACTIVE,N/A
311,0310178,Burnaby Confederation Park,Burnaby Confederation Park,Pandora Street and Alpha Avenue,Burnaby,METRO VANCOUVER NON OPERATIONAL,Residential,MVRD,1/8/1977,GVRD T005;Station Closed 1999-05-28,49.2833,-123.0208,101,INACTIVE,N/A
312,E207420,Burnaby Edmonds,Burnaby Edmonds,19th Street and 10th Avenue,Burnaby,METRO VANCOUVER NON OPERATIONAL,Residential,MVRD,1/6/1987,GVRD T020;Station Closed 1994-03-31,49.2056,-122.9519,113,INACTIVE,N/A
242,0310177,Burnaby Kensington Park,Burnaby Kensington Park,6400 East Hastings,Burnaby,METRO VANCOUVER,Residential,MVRD,1/3/1975,GVRD T004,49.2794,-122.9711,133,ACTIVE,N/A
313,E206270,Burnaby Mountain,Burnaby Mountain,Ring Road SFU,Burnaby,METRO VANCOUVER,Residential,MVRD,1/1/1984,GVRD T014,49.2797,-122.9222,360,ACTIVE,N/A
253,E244517,Burnaby North Eton,Burnaby North Eton,North Eton and Madison Avenue,Burnaby,METRO VANCOUVER,Residential,MVRD,1/1/2000,GVRD T024,49.2875,-123.0078,70,ACTIVE,N/A
249,E207418,Burnaby South,Burnaby South,5455 Rumble Street,Burnaby,METRO VANCOUVER,Residential,MVRD,1/6/1987,GVRD T018,49.2153,-122.9856,122,ACTIVE,N/A
436,E225267,Burns Lake Fire Centre,Burns Lake Fire Centre,#8 4th Avenue,Burns Lake,OPERATIONAL,N/A,ENV,2/15/2013 11:04:56 AM,Converted from ESC to Envidas Ultimate 2017-05-17,54.2307,-125.7643,652,ACTIVE,N/A
104,E225267,Burns Lake Fire Centre,Burns Lake Fire Centre_60,#8 4th Avenue,Burns Lake,OPERATIONAL,Commercial; NAPS 105201,ENV,1/3/1997,PM2.5 TEOM set to record at local temperature and pressure 2011-02-16,54.230731,-125.764354,710,ACTIVE,N/A
439,E292669,Burns Lake Sheraton East,Burns Lake Sheraton East Met_60,N/A,Burns Lake,OPERATIONAL,N/A,INDUSTRY,2/21/2013 8:56:42 AM,N/A,54.1527,-125.4495,679,ACTIVE,N/A
24,E229798,Campbell River Tyee Spit,Campbell River Tyee Spit,2662 Tyee Spit,Campbell River,NON OPERATIONAL,Industrial,INDUSTRY,1/12/1997,Monitoring suspended until Mill re-opens (2010-01-04);;;;Shut down 2010/01/04,50.0486,-125.2556,3,INACTIVE,N/A
26,0260021,Castlegar Hospital,Castlegar Hospital,709 10th Street,Castlegar,OPERATIONAL,Residential,INDUSTRY,1/2/1978,N/A,49.3144,-117.6605,455,ACTIVE,N/A
